array_type	config	frequency	array_size	elapsed_time
random_seq	0x09	1.8GHz	50000	32768	22.614654
random_seq	0x09	1.8GHz	60000	2	4.804968
random_seq	0x09	1.8GHz	60000	4	4.381417
random_seq	0x09	1.8GHz	60000	8	3.49691
random_seq	0x09	1.8GHz	60000	16	2.858311
random_seq	0x09	1.8GHz	60000	32	2.47816
random_seq	0x09	1.8GHz	60000	64	2.172063
random_seq	0x09	1.8GHz	60000	128	2.011537
random_seq	0x09	1.8GHz	60000	256	1.937209
random_seq	0x09	1.8GHz	60000	512	1.967236
random_seq	0x09	1.8GHz	60000	1024	2.202295
random_seq	0x09	1.8GHz	60000	2048	2.861415
random_seq	0x09	1.8GHz	60000	4096	4.120696
random_seq	0x09	1.8GHz	60000	8192	7.745378
random_seq	0x09	1.8GHz	60000	16384	19.889221
random_seq	0x09	1.8GHz	60000	32768	20.10093
random_seq	0x09	1.8GHz	70000	2	5.689161
random_seq	0x09	1.8GHz	70000	4	5.14538
random_seq	0x09	1.8GHz	70000	8	4.193553
random_seq	0x09	1.8GHz	70000	16	3.436047
random_seq	0x09	1.8GHz	70000	32	2.969342
random_seq	0x09	1.8GHz	70000	64	2.613713
random_seq	0x09	1.8GHz	70000	128	2.413442
random_seq	0x09	1.8GHz	70000	256	2.332743
random_seq	0x09	1.8GHz	70000	512	2.343507
random_seq	0x09	1.8GHz	70000	1024	2.665662
random_seq	0x09	1.8GHz	70000	2048	3.506686
random_seq	0x09	1.8GHz	70000	4096	5.638055
random_seq	0x09	1.8GHz	70000	8192	8.208877
random_seq	0x09	1.8GHz	70000	16384	17.036373
random_seq	0x09	1.8GHz	70000	32768	34.900307
random_seq	0x09	1.8GHz	70000	65536	67.936829
random_seq	0x09	1.8GHz	80000	2	6.647124
random_seq	0x09	1.8GHz	80000	4	6.025478
random_seq	0x09	1.8GHz	80000	8	4.892016
random_seq	0x09	1.8GHz	80000	16	4.011902
random_seq	0x09	1.8GHz	80000	32	3.474112
random_seq	0x09	1.8GHz	80000	64	3.075887
random_seq	0x09	1.8GHz	80000	128	2.89387
random_seq	0x09	1.8GHz	80000	256	2.789733
random_seq	0x09	1.8GHz	80000	512	2.788702
random_seq	0x09	1.8GHz	80000	1024	3.099713
random_seq	0x09	1.8GHz	80000	2048	4.080615
random_seq	0x09	1.8GHz	80000	4096	6.268249
random_seq	0x09	1.8GHz	80000	8192	12.383859
random_seq	0x09	1.8GHz	80000	16384	21.116985
random_seq	0x09	1.8GHz	80000	32768	48.72382
random_seq	0x09	1.8GHz	80000	65536	112.230522
random_seq	0x09	1.8GHz	90000	2	7.534185
random_seq	0x09	1.8GHz	90000	4	6.841959
random_seq	0x09	1.8GHz	90000	8	5.505602
random_seq	0x09	1.8GHz	90000	16	4.589254
random_seq	0x09	1.8GHz	90000	32	3.955234
random_seq	0x09	1.8GHz	90000	64	3.494396
random_seq	0x09	1.8GHz	90000	128	3.241521
random_seq	0x09	1.8GHz	90000	256	3.158648
random_seq	0x09	1.8GHz	90000	512	3.201227
random_seq	0x09	1.8GHz	90000	1024	3.544431
random_seq	0x09	1.8GHz	90000	2048	4.786824
random_seq	0x09	1.8GHz	90000	4096	7.16016
random_seq	0x09	1.8GHz	90000	8192	12.325092
random_seq	0x09	1.8GHz	90000	16384	24.808904
random_seq	0x09	1.8GHz	90000	32768	46.33579
random_seq	0x09	1.8GHz	90000	65536	117.037016
random_seq	0x09	1.8GHz	100000	2	8.420129
random_seq	0x09	1.8GHz	100000	4	7.604775
random_seq	0x09	1.8GHz	100000	8	6.174533
random_seq	0x09	1.8GHz	100000	16	5.146047
random_seq	0x09	1.8GHz	100000	32	4.445309
random_seq	0x09	1.8GHz	100000	64	3.957555
random_seq	0x09	1.8GHz	100000	128	3.665954
random_seq	0x09	1.8GHz	100000	256	3.542775
random_seq	0x09	1.8GHz	100000	512	3.566338
random_seq	0x09	1.8GHz	100000	1024	4.100131
random_seq	0x09	1.8GHz	100000	2048	4.957866
random_seq	0x09	1.8GHz	100000	4096	7.091855
random_seq	0x09	1.8GHz	100000	8192	15.21641
random_seq	0x09	1.8GHz	100000	16384	29.392237
random_seq	0x09	1.8GHz	100000	32768	54.28844
random_seq	0x09	1.8GHz	100000	65536	147.667165
random_seq	0x60	1.6GHz	10	2	0.009915
random_seq	0x60	1.6GHz	10	4	0.010251
random_seq	0x60	1.6GHz	10	8	0.010082
random_seq	0x60	1.6GHz	100	2	0.013866
random_seq	0x60	1.6GHz	100	4	0.013382
random_seq	0x60	1.6GHz	100	8	0.012514
random_seq	0x60	1.6GHz	100	16	0.012336
random_seq	0x60	1.6GHz	100	32	0.010818
random_seq	0x60	1.6GHz	100	64	0.01013
random_seq	0x60	1.6GHz	1000	2	0.043899
random_seq	0x60	1.6GHz	1000	4	0.040101
random_seq	0x60	1.6GHz	1000	8	0.031167
random_seq	0x60	1.6GHz	1000	16	0.026971
random_seq	0x60	1.6GHz	1000	32	0.020838
random_seq	0x60	1.6GHz	1000	64	0.020051
random_seq	0x60	1.6GHz	1000	128	0.01751
random_seq	0x60	1.6GHz	1000	256	0.016041
random_seq	0x60	1.6GHz	1000	512	0.016851
random_seq	0x60	1.6GHz	10000	2	0.400635
random_seq	0x60	1.6GHz	10000	4	0.353504
random_seq	0x60	1.6GHz	10000	8	0.265297
random_seq	0x60	1.6GHz	10000	16	0.196541
random_seq	0x60	1.6GHz	10000	32	0.155898
random_seq	0x60	1.6GHz	10000	64	0.129998
random_seq	0x60	1.6GHz	10000	128	0.110967
random_seq	0x60	1.6GHz	10000	256	0.10196
random_seq	0x60	1.6GHz	10000	512	0.102981
random_seq	0x60	1.6GHz	10000	1024	0.111689
random_seq	0x60	1.6GHz	10000	2048	0.161728
random_seq	0x60	1.6GHz	10000	4096	0.317104
random_seq	0x60	1.6GHz	10000	8192	0.668974
random_seq	0x60	1.6GHz	20000	2	0.847079
random_seq	0x60	1.6GHz	20000	4	0.737476
random_seq	0x60	1.6GHz	20000	8	0.548412
random_seq	0x60	1.6GHz	20000	16	0.423361
random_seq	0x60	1.6GHz	20000	32	0.337509
random_seq	0x60	1.6GHz	20000	64	0.28019
random_seq	0x60	1.6GHz	20000	128	0.249376
random_seq	0x60	1.6GHz	20000	256	0.228243
random_seq	0x60	1.6GHz	20000	512	0.228147
random_seq	0x60	1.6GHz	20000	1024	0.251465
random_seq	0x60	1.6GHz	20000	2048	0.320949
random_seq	0x60	1.6GHz	20000	4096	0.593018
random_seq	0x60	1.6GHz	20000	8192	1.003687
random_seq	0x60	1.6GHz	20000	16384	1.634139
random_seq	0x60	1.6GHz	30000	2	1.316167
random_seq	0x60	1.6GHz	30000	4	1.150319
random_seq	0x60	1.6GHz	30000	8	0.862272
random_seq	0x60	1.6GHz	30000	16	0.670189
random_seq	0x60	1.6GHz	30000	32	0.539349
random_seq	0x60	1.6GHz	30000	64	0.449804
random_seq	0x60	1.6GHz	30000	128	0.395493
random_seq	0x60	1.6GHz	30000	256	0.372979
random_seq	0x60	1.6GHz	30000	512	0.371911
random_seq	0x60	1.6GHz	30000	1024	0.419888
random_seq	0x60	1.6GHz	30000	2048	0.554514
random_seq	0x60	1.6GHz	30000	4096	0.798071
random_seq	0x60	1.6GHz	30000	8192	1.634217
random_seq	0x60	1.6GHz	30000	16384	3.352294
random_seq	0x60	1.6GHz	40000	2	1.743785
random_seq	0x60	1.6GHz	40000	4	1.551914
random_seq	0x60	1.6GHz	40000	8	1.165575
random_seq	0x60	1.6GHz	40000	16	0.891237
random_seq	0x60	1.6GHz	40000	32	0.733604
random_seq	0x60	1.6GHz	40000	64	0.611885
random_seq	0x60	1.6GHz	40000	128	0.545477
random_seq	0x60	1.6GHz	40000	256	0.520453
random_seq	0x60	1.6GHz	40000	512	0.508527
random_seq	0x60	1.6GHz	40000	1024	0.551228
random_seq	0x60	1.6GHz	40000	2048	0.725376
random_seq	0x60	1.6GHz	40000	4096	1.191822
random_seq	0x60	1.6GHz	40000	8192	2.140905
random_seq	0x60	1.6GHz	40000	16384	4.173435
random_seq	0x60	1.6GHz	40000	32768	14.289732
random_seq	0x60	1.6GHz	50000	2	2.261139
random_seq	0x60	1.6GHz	50000	4	2.024819
random_seq	0x60	1.6GHz	50000	8	1.520677
random_seq	0x60	1.6GHz	50000	16	1.181061
random_seq	0x60	1.6GHz	50000	32	0.967738
random_seq	0x60	1.6GHz	50000	64	0.829792
random_seq	0x60	1.6GHz	50000	128	0.738709
random_seq	0x60	1.6GHz	50000	256	0.692773
random_seq	0x60	1.6GHz	50000	512	0.69542
random_seq	0x60	1.6GHz	50000	1024	0.741649
random_seq	0x60	1.6GHz	50000	2048	0.919146
random_seq	0x60	1.6GHz	50000	4096	1.469891
random_seq	0x60	1.6GHz	50000	8192	2.753667
random_seq	0x60	1.6GHz	50000	16384	4.521253
random_seq	0x60	1.6GHz	50000	32768	8.671549
random_seq	0x60	1.6GHz	60000	2	2.706393
random_seq	0x60	1.6GHz	60000	4	2.392183
