array_type	config	frequency	array_size	elapsed_time
random_seq	0x0f	1.8GHz	800000	24.613056
random_seq	0x0f	1.8GHz	900000	27.381402
random_seq	0x0f	1.8GHz	1000000	30.047333
random_seq	0xff	1.6GHz	10	0.009314
random_seq	0xff	1.6GHz	100	0.01175
random_seq	0xff	1.6GHz	1000	0.02976
random_seq	0xff	1.6GHz	10000	0.190842
random_seq	0xff	1.6GHz	20000	0.406418
random_seq	0xff	1.6GHz	30000	0.463341
random_seq	0xff	1.6GHz	40000	0.599088
random_seq	0xff	1.6GHz	50000	0.750415
random_seq	0xff	1.6GHz	60000	0.965334
random_seq	0xff	1.6GHz	70000	1.045972
random_seq	0xff	1.6GHz	80000	1.131513
random_seq	0xff	1.6GHz	90000	1.21019
random_seq	0xff	1.6GHz	100000	1.358176
random_seq	0xff	1.6GHz	200000	3.048084
random_seq	0xff	1.6GHz	300000	4.648709
random_seq	0xff	1.6GHz	400000	5.753414
random_seq	0xff	1.6GHz	500000	7.368924
random_seq	0xff	1.6GHz	600000	8.472137
random_seq	0xff	1.6GHz	700000	9.57143
random_seq	0xff	1.6GHz	800000	11.409019
random_seq	0xff	1.6GHz	900000	12.802623
random_seq	0xff	1.6GHz	1000000	13.808805
random_seq	0xff	1.8GHz	10	0.008496
random_seq	0xff	1.8GHz	100	0.01163
random_seq	0xff	1.8GHz	1000	0.032964
random_seq	0xff	1.8GHz	10000	0.202471
random_seq	0xff	1.8GHz	20000	0.414268
random_seq	0xff	1.8GHz	30000	0.496464
random_seq	0xff	1.8GHz	40000	0.553271
random_seq	0xff	1.8GHz	50000	0.711992
random_seq	0xff	1.8GHz	60000	0.848736
random_seq	0xff	1.8GHz	70000	0.990004
random_seq	0xff	1.8GHz	80000	1.165843
random_seq	0xff	1.8GHz	90000	1.290705
random_seq	0xff	1.8GHz	100000	1.444666
random_seq	0xff	1.8GHz	200000	3.045071
random_seq	0xff	1.8GHz	300000	4.570455
random_seq	0xff	1.8GHz	400000	5.894621
random_seq	0xff	1.8GHz	500000	7.360722
random_seq	0xff	1.8GHz	600000	8.703746
random_seq	0xff	1.8GHz	700000	9.823365
random_seq	0xff	1.8GHz	800000	11.418514
random_seq	0xff	1.8GHz	900000	12.900608
random_seq	0xff	1.8GHz	1000000	13.898036
